#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-17T13:33:55 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ605204e729e7	
#INFO	-out.max=unlimited	
#INFO	queryParameters=7	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-source=J/A+A/616/A10/tablea1b
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_616_A10_tablea1b:
#Name: J/A+A/616/A10/tablea1b
#Title: Stars in 37 open clusters beyond 250pc
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RAdeg	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra]
#Column	DEdeg	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000|_DEJ2000|Source|Cluster|RAdeg|DEdeg|Gmag|Simbad|_RA|_DE
010.3325225|+85.0241628|    573557908465908096|NGC0188 | 10.33242| 85.02416|13.186|Simbad|010.33252|+85.02416
012.7953058|+85.2554022|    573939743941135104|NGC0188 | 12.79519| 85.25540|16.972|Simbad|012.79531|+85.25540
011.9662047|+85.2738017|    573942909332933120|NGC0188 | 11.96609| 85.27380|15.852|Simbad|011.96620|+85.27380
009.3633861|+85.1744664|    573946757623663488|NGC0188 |  9.36327| 85.17446|16.589|Simbad|009.36339|+85.17447
013.2374033|+85.6949375|    573978746538666112|NGC0188 | 13.23733| 85.69493|19.661|Simbad|013.23740|+85.69494
008.5686622|+85.5805492|    573985034372054016|NGC0188 |  8.56856| 85.58054|19.791|Simbad|008.56866|+85.58055
010.5951897|+85.0568333|    573933185525541504|NGC0188 | 10.59503| 85.05683|19.826|Simbad|010.59519|+85.05683
010.8780272|+85.1957789|    573935934306082432|NGC0188 | 10.87792| 85.19578|16.755|Simbad|010.87803|+85.19578
012.4900297|+85.2411811|    573939881380081280|NGC0188 | 12.48992| 85.24118|18.885|Simbad|012.49003|+85.24118
011.3221961|+85.2060883|    573941053907096576|NGC0188 | 11.32208| 85.20608|15.196|Simbad|011.32220|+85.20609
011.3861353|+85.2051536|    573940985187621760|NGC0188 | 11.38601| 85.20515|16.399|Simbad|011.38614|+85.20515
011.0180283|+85.2573689|    573942015979736064|NGC0188 | 11.01792| 85.25737|17.620|Simbad|011.01803|+85.25737
012.2125322|+85.2447703|    573939915739819776|NGC0188 | 12.21243| 85.24477|17.585|Simbad|012.21253|+85.24477
012.5010192|+85.3286250|    573940637293039360|NGC0188 | 12.50091| 85.32862|18.800|Simbad|012.50102|+85.32862
013.0667336|+85.2290325|    573938992322797440|NGC0188 | 13.06662| 85.22903|14.851|Simbad|013.06673|+85.22903
011.3626014|+85.2048742|    573941053907097984|NGC0188 | 11.36248| 85.20487|14.964|Simbad|011.36260|+85.20487
011.2748750|+85.1645425|    573934933577714560|NGC0188 | 11.27474| 85.16454|19.353|Simbad|011.27487|+85.16454
012.1539450|+85.4830617|    573969671272135680|NGC0188 | 12.15382| 85.48306|18.899|Simbad|012.15394|+85.48306
010.7028783|+85.1963528|    573935831226864128|NGC0188 | 10.70276| 85.19635|15.378|Simbad|010.70288|+85.19635
012.9812686|+85.2291575|    573938953667143808|NGC0188 | 12.98115| 85.22915|19.231|Simbad|012.98127|+85.22916
012.1370567|+85.3867589|    573967270387387904|NGC0188 | 12.13693| 85.38676|14.890|Simbad|012.13706|+85.38676
007.9873325|+85.4366453|    573959917403340416|NGC0188 |  7.98721| 85.43664|16.124|Simbad|007.98733|+85.43665
015.3981992|+85.6845975|    573881233601744512|NGC0188 | 15.39809| 85.68460|18.539|Simbad|015.39820|+85.68460
011.7082800|+85.2851456|    573943149851095040|NGC0188 | 11.70817| 85.28514|14.880|Simbad|011.70828|+85.28515
011.9426919|+85.2145106|    573941225705789568|NGC0188 | 11.94257| 85.21451|14.770|Simbad|011.94269|+85.21451
011.3715150|+85.2037200|    573940985187622656|NGC0188 | 11.37139| 85.20372|15.686|Simbad|011.37151|+85.20372
013.2690761|+85.2187714|    573938923603328000|NGC0188 | 13.26895| 85.21877|14.688|Simbad|013.26908|+85.21877
012.9799333|+85.1311311|    573936724580102784|NGC0188 | 12.97981| 85.13113|15.719|Simbad|012.97993|+85.13113
011.0539731|+85.2743642|    573942428296589568|NGC0188 | 11.05385| 85.27436|15.645|Simbad|011.05397|+85.27436
011.8401192|+85.2376653|    573941324489085696|NGC0188 | 11.83999| 85.23766|19.078|Simbad|011.84012|+85.23767
010.5861472|+85.2609753|    573942153418684288|NGC0188 | 10.58603| 85.26097|13.241|Simbad|010.58615|+85.26098
012.4931883|+85.3579831|    573964242433330432|NGC0188 | 12.49309| 85.35798|18.018|Simbad|012.49319|+85.35798
011.9223747|+85.3311128|    573943523511054464|NGC0188 | 11.92222| 85.33111|19.533|Simbad|011.92237|+85.33111
011.8591936|+85.2821231|    573942978052404992|NGC0188 | 11.85909| 85.28212|16.128|Simbad|011.85919|+85.28212
011.9625133|+85.2247517|    573941260065522304|NGC0188 | 11.96241| 85.22475|14.484|Simbad|011.96251|+85.22475
010.9776003|+85.2051128|    573935899946338816|NGC0188 | 10.97748| 85.20511|16.464|Simbad|010.97760|+85.20511
011.0971044|+85.2116994|    573941775461597312|NGC0188 | 11.09700| 85.21169|19.539|Simbad|011.09710|+85.21170
012.0463822|+85.2842908|    573943012412143744|NGC0188 | 12.04627| 85.28429|17.409|Simbad|012.04638|+85.28429
012.1814994|+85.2266761|    573938408207238528|NGC0188 | 12.18139| 85.22667|16.151|Simbad|012.18150|+85.22668
012.3223369|+85.2851808|    573940091834384000|NGC0188 | 12.32221| 85.28518|14.763|Simbad|012.32234|+85.28518
013.1915878|+85.3627500|    573964349809801600|NGC0188 | 13.19147| 85.36275|18.032|Simbad|013.19159|+85.36275
012.6052856|+85.2348044|    573939679517557120|NGC0188 | 12.60518| 85.23480|16.182|Simbad|012.60529|+85.23480
006.4937525|+85.2720756|    573998125432263168|NGC0188 |  6.49364| 85.27207|18.089|Simbad|006.49375|+85.27208
010.3589236|+85.2836942|    573954003235718016|NGC0188 | 10.35883| 85.28369|19.833|Simbad|010.35892|+85.28369
011.7531122|+85.2782336|    573943149851098240|NGC0188 | 11.75299| 85.27823|15.725|Simbad|011.75311|+85.27823
011.1038542|+85.3440383|    573944176346085376|NGC0188 | 11.10373| 85.34403|15.547|Simbad|011.10385|+85.34404
012.2291506|+85.2868647|    573940091834382592|NGC0188 | 12.22903| 85.28686|16.533|Simbad|012.22915|+85.28686
013.0101906|+85.2350006|    573938992322792832|NGC0188 | 13.01007| 85.23500|15.336|Simbad|013.01019|+85.23500
012.2723369|+85.2922697|    573940465494305664|NGC0188 | 12.27220| 85.29227|18.956|Simbad|012.27234|+85.29227
009.2125783|+85.1674150|    573946723263927808|NGC0188 |  9.21246| 85.16741|15.715|Simbad|009.21258|+85.16741
009.7109353|+85.3216061|    573954346828597120|NGC0188 |  9.71081| 85.32160|17.740|Simbad|009.71094|+85.32161
009.9906225|+85.2805186|    573954140670134144|NGC0188 |  9.99053| 85.28051|19.320|Simbad|009.99062|+85.28052
009.0692525|+85.1638494|    573946414026282752|NGC0188 |  9.06914| 85.16385|15.151|Simbad|009.06925|+85.16385
011.7261153|+85.2921992|    573943184210829568|NGC0188 | 11.72600| 85.29219|17.655|Simbad|011.72612|+85.29220
010.5940103|+85.2019081|    573936037385290496|NGC0188 | 10.59389| 85.20190|15.424|Simbad|010.59401|+85.20191
009.7370200|+85.3649575|    573955652498702208|NGC0188 |  9.73693| 85.36495|19.104|Simbad|009.73702|+85.36496
012.8691283|+85.2311433|    573939713877299072|NGC0188 | 12.86900| 85.23114|14.837|Simbad|012.86913|+85.23114
011.3266025|+85.3457808|    573944146283478400|NGC0188 | 11.32649| 85.34578|15.936|Simbad|011.32660|+85.34578
010.6590544|+85.2025036|    573936037385290752|NGC0188 | 10.65890| 85.20250|18.018|Simbad|010.65905|+85.20250
010.4555122|+85.2200897|    573936204886664576|NGC0188 | 10.45537| 85.22009|18.156|Simbad|010.45551|+85.22009
010.5347753|+85.2002642|    573936037385290880|NGC0188 | 10.53466| 85.20026|15.148|Simbad|010.53478|+85.20026
011.3800781|+85.2881883|    573941741101817856|NGC0188 | 11.37996| 85.28819|15.146|Simbad|011.38008|+85.28819
011.9220789|+85.2947172|    573943081131614720|NGC0188 | 11.92196| 85.29471|16.868|Simbad|011.92208|+85.29472
009.4675314|+85.3642019|    573955583779219712|NGC0188 |  9.46737| 85.36419|19.772|Simbad|009.46753|+85.36420
012.8938072|+85.2122294|    573938816228181248|NGC0188 | 12.89368| 85.21223|16.606|Simbad|012.89381|+85.21223
011.8939389|+85.2640478|    573942939395342336|NGC0188 | 11.89382| 85.26404|15.241|Simbad|011.89394|+85.26405
011.9754511|+85.1316578|    573931806841515136|NGC0188 | 11.97534| 85.13166|19.198|Simbad|011.97545|+85.13166
012.0835625|+85.2241953|    573938408207239296|NGC0188 | 12.08344| 85.22419|14.106|Simbad|012.08356|+85.22420
012.8702714|+85.1145958|    573936582845147008|NGC0188 | 12.87015| 85.11459|19.429|Simbad|012.87027|+85.11460
013.1061194|+85.3243092|    573963903133059584|NGC0188 | 13.10600| 85.32430|14.791|Simbad|013.10612|+85.32431
011.3970364|+85.2845281|    573941741101819392|NGC0188 | 11.39690| 85.28452|14.865|Simbad|011.39704|+85.28453
013.9122161|+85.3389192|    573963383441147008|NGC0188 | 13.91208| 85.33891|19.893|Simbad|013.91222|+85.33892
012.0114783|+85.2205753|    573941260065524736|NGC0188 | 12.01137| 85.22057|16.237|Simbad|012.01148|+85.22058
012.3862389|+85.2575369|    573939984459327616|NGC0188 | 12.38611| 85.25754|18.712|Simbad|012.38624|+85.25754
011.5364561|+85.2879331|    573943218570568704|NGC0188 | 11.53633| 85.28793|16.227|Simbad|011.53646|+85.28793
011.7872758|+85.2958239|    573943282992846464|NGC0188 | 11.78717| 85.29582|17.979|Simbad|011.78728|+85.29582
012.2045867|+85.3232886|    573943557870788608|NGC0188 | 12.20448| 85.32328|18.316|Simbad|012.20459|+85.32329
011.9219556|+85.2293639|    573941260065518336|NGC0188 | 11.92183| 85.22936|14.799|Simbad|011.92196|+85.22936
010.9444617|+85.2162103|    573941839883758464|NGC0188 | 10.94437| 85.21621|18.071|Simbad|010.94446|+85.21621
011.3596200|+85.4711064|    573968812286209792|NGC0188 | 11.35954| 85.47110|19.503|Simbad|011.35962|+85.47111
012.8383336|+85.2422819|    573939713877292544|NGC0188 | 12.83819| 85.24227|19.368|Simbad|012.83833|+85.24228
011.4174919|+85.3365742|    573944141986341888|NGC0188 | 11.41733| 85.33657|18.593|Simbad|011.41749|+85.33657
010.3599117|+85.3532333|    573956133535035648|NGC0188 | 10.35979| 85.35323|16.796|Simbad|010.35991|+85.35323
012.7940619|+85.2413792|    573939713877292800|NGC0188 | 12.79394| 85.24138|14.910|Simbad|012.79406|+85.24138
012.5361789|+85.3702011|    573964281090159360|NGC0188 | 12.53607| 85.37020|17.748|Simbad|012.53618|+85.37020
011.9905097|+85.2266692|    573941255769605120|NGC0188 | 11.99041| 85.22667|18.005|Simbad|011.99051|+85.22667
009.3787878|+85.2814750|    573949055428849152|NGC0188 |  9.37866| 85.28147|18.193|Simbad|009.37879|+85.28147
009.6646572|+85.1958275|    573947547897636992|NGC0188 |  9.66455| 85.19582|16.085|Simbad|009.66466|+85.19583
012.1892681|+85.1012742|    573931433178878592|NGC0188 | 12.18915| 85.10127|18.191|Simbad|012.18927|+85.10127
012.1787369|+85.3259614|    573943557870790528|NGC0188 | 12.17863| 85.32596|18.126|Simbad|012.17874|+85.32596
010.1569358|+85.2538828|    573948063293683328|NGC0188 | 10.15681| 85.25388|17.660|Simbad|010.15694|+85.25388
006.2556667|+85.3737917|    573998911409279616|NGC0188 |  6.25559| 85.37379|19.565|Simbad|006.25567|+85.37379
008.2594592|+85.6092594|    573985893365505280|NGC0188 |  8.25933| 85.60926|16.269|Simbad|008.25946|+85.60926
012.6724561|+85.3238978|    573964040572011008|NGC0188 | 12.67234| 85.32389|15.474|Simbad|012.67246|+85.32390
012.9577525|+85.2494253|    573940121898256384|NGC0188 | 12.95764| 85.24942|17.818|Simbad|012.95775|+85.24943
010.2859197|+85.3148231|    573954484267551104|NGC0188 | 10.28578| 85.31482|18.953|Simbad|010.28592|+85.31482
012.0441567|+85.2923731|    573943046771878912|NGC0188 | 12.04395| 85.29237|19.520|Simbad|012.04416|+85.29237
010.7918289|+85.2067256|    573935934306074496|NGC0188 | 10.79171| 85.20672|14.893|Simbad|010.79183|+85.20673
011.2420453|+85.2779378|    573942462656327552|NGC0188 | 11.24193| 85.27793|15.246|Simbad|011.24205|+85.27794
010.2103061|+85.2052678|    573947444818422272|NGC0188 | 10.21019| 85.20526|19.544|Simbad|010.21031|+85.20527
009.3522839|+85.2806839|    573949021069109504|NGC0188 |  9.35214| 85.28068|18.501|Simbad|009.35228|+85.28068
013.2270681|+85.2106894|    573938884947660416|NGC0188 | 13.22694| 85.21068|18.675|Simbad|013.22707|+85.21069
012.7512069|+85.3264472|    573964040572010496|NGC0188 | 12.75109| 85.32644|16.040|Simbad|012.75121|+85.32645
011.9024942|+85.2284397|    573941255769606272|NGC0188 | 11.90236| 85.22843|18.539|Simbad|011.90249|+85.22844
011.7992317|+85.2254344|    573941294425258496|NGC0188 | 11.79912| 85.22543|14.358|Simbad|011.79923|+85.22543
010.2969453|+85.3175697|    573954518627293056|NGC0188 | 10.29680| 85.31756|18.406|Simbad|010.29695|+85.31757
010.5275558|+85.2797997|    573942290857628288|NGC0188 | 10.52744| 85.27980|14.063|Simbad|010.52756|+85.27980
011.3998439|+85.2953736|    573943218570563712|NGC0188 | 11.39972| 85.29537|15.014|Simbad|011.39984|+85.29537
009.1501975|+85.4509286|    573957645363619200|NGC0188 |  9.15009| 85.45092|18.208|Simbad|009.15020|+85.45093
011.0436219|+85.2221517|    573941805524024448|NGC0188 | 11.04348| 85.22215|19.189|Simbad|011.04362|+85.22215
008.1132156|+85.3153525|    573952152102506240|NGC0188 |  8.11309| 85.31535|17.484|Simbad|008.11322|+85.31535
011.0701997|+85.2889128|    573942531375797120|NGC0188 | 11.07008| 85.28891|15.673|Simbad|011.07020|+85.28891
012.4367922|+85.3652233|    573964246730422400|NGC0188 | 12.43666| 85.36522|16.455|Simbad|012.43679|+85.36522
